,Z,D,FTAScore,NCAScore,NVCAFlag,DMF,Sex,White,SexWhite,Age,PendingChargeAtTimeOfOffense,NCorNonViolentMisdemeanorCharge,ViolentMisdemeanorCharge,ViolentFelonyCharge,NonViolentFelonyCharge,PriorMisdemeanorConviction,PriorFelonyConviction,PriorViolentConviction,PriorSentenceToIncarceration,PriorFTAInPastTwoYears,PriorFTAOlderThanTwoYears,Staff_ReleaseRecommendation,Y_NCA,Y_NVCA,Y_FTA,Hearing Date
54,1.0,0.0,6.0,5.0,0.0,1.0,1.0,1.0,1.0,26.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,6.0,0.0,0.0,0.0,7
55,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,16
56,1.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,8
57,1.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,24.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,16
58,1.0,0.0,4.0,6.0,1.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,0.0,11
59,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8
60,1.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,54.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,8
61,1.0,1.0,5.0,6.0,1.0,1.0,1.0,0.0,0.0,29.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,6.0,0.0,0.0,1.0,7
62,0.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,50.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,9
63,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,26.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,8
